City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
9,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
12,Cizre,TR,83.95,clear sky,37.3272,42.1903,Divan Cizre Hotel
15,Sur,OM,82.8,broken clouds,22.5667,59.5289,Sur Plaza Hotel
21,Atuona,PF,76.84,broken clouds,-9.8,-139.0333,Villa Enata
23,Cairo,EG,77.76,clear sky,30.0626,31.2497,Grand Hotel
25,Salalah,OM,78.64,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
27,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
31,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,hotel la terminal
36,Buala,SB,78.78,light rain,-8.145,159.5921,Maringe Lagoon Lodge
39,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
42,Sao Filipe,CV,80.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
53,Samarai,PG,79.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
54,Manzanillo,CU,87.39,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
57,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Ponta Do Sol,PT,76.71,few clouds,32.6667,-17.1,Hotel do Campo
74,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
75,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
77,Thinadhoo,MV,81.57,light rain,0.5333,72.9333,
80,Acapulco,MX,84.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
82,Salta,AR,78.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
87,Bon Air,US,79.09,scattered clouds,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
92,Mocuba,MZ,75.47,clear sky,-16.8392,36.9856,Phama Lodge
