City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
0,Ushuaia,AR,-54.8,-68.3,46.06,61,75,4.61,broken clouds
1,Vardo,NO,70.3705,31.1107,46.38,93,75,28.77,broken clouds
2,Erzin,TR,36.9559,36.2,71.71,80,0,1.14,clear sky
3,Port Alfred,ZA,-33.5906,26.891,62.67,76,100,14.63,overcast clouds
4,Hobart,AU,-42.8794,147.3294,57.06,90,75,6.91,moderate rain
5,Teeli,RU,51.0333,90.2333,33.19,82,29,1.86,scattered clouds
6,Lompoc,US,34.6391,-120.4579,59.41,51,5,6.85,clear sky
7,Kananga,CD,-5.8958,22.4178,74.21,69,72,0.43,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,48.31,46,75,25.32,broken clouds
9,Saint George,US,37.1041,-113.5841,79.43,29,0,1.01,clear sky
10,Tokur,RU,53.1333,132.9,21.4,86,97,3.8,overcast clouds
11,Komsomolskiy,UZ,40.4272,71.7189,59.72,38,0,6.91,clear sky
12,Cizre,TR,37.3272,42.1903,83.95,17,0,3.89,clear sky
13,Mataura,NZ,-46.1927,168.8643,43.48,88,81,2.1,broken clouds
14,Tessalit,ML,20.1986,1.0114,98.58,11,46,9.1,scattered clouds
15,Sur,OM,22.5667,59.5289,82.8,63,70,8.14,broken clouds
16,Busselton,AU,-33.65,115.3333,51.89,69,99,4.45,overcast clouds
17,Husavik,IS,66.0449,-17.3389,37.06,99,100,13.73,overcast clouds
18,Eldorado,BR,-23.7869,-54.2836,72.09,75,78,11.36,moderate rain
19,Riberalta,BO,-10.9833,-66.1,95.2,46,75,17.27,broken clouds
20,Khani,GE,41.9563,42.9566,56.77,94,64,1.74,broken clouds
21,Atuona,PF,-9.8,-139.0333,76.84,76,69,23.44,broken clouds
22,Albany,US,42.6001,-73.9662,74.68,60,7,3.18,clear sky
23,Cairo,EG,30.0626,31.2497,77.76,50,0,11.5,clear sky
24,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,38,13.0,scattered clouds
25,Salalah,OM,17.0151,54.0924,78.64,82,100,3.58,overcast clouds
26,Barrow,US,71.2906,-156.7887,40.41,71,100,28.12,overcast clouds
27,Avarua,CK,-21.2078,-159.775,75.25,64,20,12.66,few clouds
28,Kapaa,US,22.0752,-159.319,71.1,76,22,7.58,few clouds
29,Dogondoutchi,NE,13.6393,4.0287,94.6,27,76,9.53,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,69.71,67,89,24.05,overcast clouds
31,Ixtapa,MX,20.7,-105.2,86.23,72,30,4.0,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,63.09,76,75,9.22,light rain
33,Khatanga,RU,71.9667,102.5,19.29,95,100,14.05,overcast clouds
34,Muros,ES,42.7762,-9.0603,73.15,75,1,9.53,clear sky
35,Mount Isa,AU,-20.7333,139.5,71.37,78,11,3.44,few clouds
36,Buala,SB,-8.145,159.5921,78.78,81,79,5.46,light rain
37,Churapcha,RU,62.0025,132.4325,23.45,93,100,3.44,overcast clouds
38,Abbeville,FR,50.1,1.8333,59.49,81,14,4.23,few clouds
39,Georgetown,MY,5.4112,100.3354,80.53,90,20,1.14,few clouds
40,Leshukonskoye,RU,64.8989,45.7622,45.86,86,99,11.43,overcast clouds
41,Sitka,US,57.0531,-135.33,59.45,85,86,2.64,overcast clouds
42,Sao Filipe,CV,14.8961,-24.4956,80.38,80,47,11.97,scattered clouds
43,Olafsvik,IS,64.8945,-23.7142,41.7,69,99,13.56,overcast clouds
44,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,few clouds
45,Lagoa,PT,39.05,-27.9833,70.21,84,21,13.04,few clouds
46,Tupik,RU,54.4253,119.9327,27.0,63,49,2.17,scattered clouds
47,Pangnirtung,CA,66.1451,-65.7125,30.0,94,100,2.91,light snow
48,Belousovka,KZ,50.1339,82.5239,36.45,56,20,2.24,few clouds
49,Belaya Gora,RU,68.5333,146.4167,22.28,82,99,15.97,overcast clouds
50,Espanola,US,35.9911,-106.0806,62.28,73,86,1.01,overcast clouds
51,Dikson,RU,73.5069,80.5464,31.8,99,100,23.55,light snow
52,Shizunai,JP,42.3339,142.3669,45.05,66,82,8.28,broken clouds
53,Samarai,PG,-10.6167,150.6667,79.72,84,92,8.95,overcast clouds
54,Manzanillo,CU,20.3433,-77.1167,87.39,65,51,10.65,broken clouds
55,Peleduy,RU,59.6289,112.7406,28.96,97,100,1.45,light snow
56,Kodiak,US,57.79,-152.4072,49.71,97,49,6.67,scattered clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,40,23.02,scattered clouds
58,Bredasdorp,ZA,-34.5322,20.0403,58.21,83,98,9.51,overcast clouds
59,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,83,4.0,broken clouds
60,Severo-Kurilsk,RU,50.6789,156.125,42.64,63,61,12.8,broken clouds
61,Atbasar,KZ,51.8,68.3333,52.3,45,98,8.59,overcast clouds
62,Tura,IN,25.5198,90.2201,72.07,97,36,3.0,scattered clouds
63,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,75,23.02,broken clouds
64,Ahipara,NZ,-35.1667,173.1667,51.37,64,74,8.03,broken clouds
65,Mogoytuy,RU,51.2833,114.9167,25.65,55,13,2.95,few clouds
66,Vostok,RU,46.4856,135.8833,26.26,67,12,5.57,few clouds
67,Port Elizabeth,ZA,-33.918,25.5701,62.89,78,0,19.57,clear sky
68,Marystown,CA,47.1666,-55.1483,59.22,71,93,8.63,overcast clouds
69,Grenfell,AU,-33.9,148.1667,52.84,97,70,3.65,broken clouds
70,Yelizovo,RU,53.1873,158.3805,33.94,100,40,7.0,scattered clouds
71,Evensk,RU,61.95,159.2333,21.81,56,89,8.08,overcast clouds
72,Ponta Do Sol,PT,32.6667,-17.1,76.71,76,16,3.98,few clouds
73,Luderitz,NA,-26.6481,15.1594,62.47,56,17,26.96,few clouds
74,Vila Velha,BR,-20.3297,-40.2925,80.55,74,75,11.5,broken clouds
75,Ambon,ID,-3.6954,128.1814,77.14,94,20,6.91,few clouds
76,Thompson,CA,55.7435,-97.8558,30.36,64,75,9.22,broken clouds
77,Thinadhoo,MV,0.5333,72.9333,81.57,78,57,19.8,light rain
78,Leningradskiy,RU,69.3833,178.4167,33.93,67,100,27.38,overcast clouds
79,Geraldton,AU,-28.7667,114.6,45.01,87,14,5.75,few clouds
80,Acapulco,MX,16.8634,-99.8901,84.42,67,51,5.7,broken clouds
81,Jamestown,US,42.097,-79.2353,68.72,47,75,6.91,broken clouds
82,Salta,AR,-24.7859,-65.4117,78.58,24,0,6.91,clear sky
83,Babu,CN,24.4167,111.5167,62.2,75,61,8.79,broken clouds
84,Paamiut,GL,61.994,-49.6678,37.17,74,70,1.92,broken clouds
85,Carnarvon,AU,-24.8667,113.6333,63.01,61,26,26.8,scattered clouds
86,Chokurdakh,RU,70.6333,147.9167,17.47,91,81,12.68,broken clouds
87,Bon Air,US,37.5249,-77.5578,79.09,45,37,5.01,scattered clouds
88,Aklavik,CA,68.2191,-135.0107,33.4,88,99,12.35,overcast clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,64.42,83,75,8.05,broken clouds
90,Elko,US,41.0002,-115.5012,64.74,27,6,1.01,clear sky
91,Saint-Louis,SN,16.3333,-15.0,101.98,22,7,5.88,clear sky
92,Mocuba,MZ,-16.8392,36.9856,75.47,64,0,6.51,clear sky
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,83,76,14.32,broken clouds
94,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,19.57,scattered clouds
95,Half Moon Bay,US,37.4636,-122.4286,79.88,83,100,5.75,mist
96,Hermanus,ZA,-34.4187,19.2345,57.79,78,92,11.68,light rain
97,Pangody,RU,65.85,74.4859,35.04,81,100,14.43,overcast clouds
98,Kirakira,SB,-10.4544,161.9205,77.63,85,96,6.4,overcast clouds
99,Esil,KZ,51.9556,66.4042,53.69,26,99,9.82,overcast clouds
100,Mayumba,GA,-3.432,10.6554,76.46,86,92,9.62,overcast clouds
101,Hami,CN,42.8,93.45,52.5,29,0,3.56,clear sky
102,Cabo San Lucas,MX,22.8909,-109.9124,90.18,54,3,3.58,clear sky
103,Wuda,CN,39.4994,106.7117,49.68,32,0,7.14,clear sky
104,La Ronge,CA,55.1001,-105.2842,40.48,39,0,6.93,clear sky
105,Naron,ES,43.5167,-8.1528,72.45,87,76,13.18,broken clouds
106,Merauke,ID,-8.4667,140.3333,78.93,88,100,13.82,overcast clouds
107,Tigil,RU,57.8,158.6667,32.47,99,83,10.94,snow
108,Souillac,MU,-20.5167,57.5167,70.54,72,36,14.09,scattered clouds
109,Bluff,NZ,-46.6,168.3333,43.81,69,32,6.46,scattered clouds
110,Cherskiy,RU,68.75,161.3,24.87,87,100,22.64,overcast clouds
111,Faya,SA,18.3851,42.4509,68.41,33,66,7.2,broken clouds
112,Ust-Nera,RU,64.5667,143.2,3.7,97,94,2.98,overcast clouds
